,spec_id,partial,model_name,lr,update_num,aupr,category,n_classes
98,55,1.0,google/bigbird-roberta-base,5e-06,800,0.9098772815878079,Material Adverse Effect,25
99,57,1.0,google/bigbird-roberta-base,1e-05,800,0.8333333333333334,Material Adverse Effect,26
100,58,1.0,google/bigbird-roberta-base,5e-05,200,0.7120039682539682,Material Adverse Effect,26
101,59,1.0,google/bigbird-roberta-base,1e-05,400,0.798310619214902,Material Adverse Effect,26
102,6,1.0,google/bigbird-roberta-base,5e-05,600,1.0,Conditions to Closing,55
103,60,1.0,google/bigbird-roberta-base,1e-05,400,0.7796296296296296,Material Adverse Effect,26
104,61.0,1.0,google/bigbird-roberta-base,1e-05,800,0.8699195433622678,Material Adverse Effect,44
105,61.1,1.0,google/bigbird-roberta-base,5e-06,200,0.8171026504359838,Material Adverse Effect,47
106,61.2,1.0,google/bigbird-roberta-base,5e-05,400,0.6797516415483873,Material Adverse Effect,45
107,61.3,1.0,google/bigbird-roberta-base,5e-05,200,0.2995633256802272,Material Adverse Effect,39
108,61.4,1.0,google/bigbird-roberta-base,5e-06,800,0.7182539682539683,Material Adverse Effect,45
109,61.5,1.0,google/bigbird-roberta-base,1e-05,400,0.611111111111111,Material Adverse Effect,38
110,61.6,1.0,google/bigbird-roberta-base,5e-05,600,0.31229743363889706,Material Adverse Effect,46
111,62,1.0,google/bigbird-roberta-base,5e-05,200,0.43311616932188235,Material Adverse Effect,41
112,66,1.0,google/bigbird-roberta-base,1e-05,800,0.9189351291247686,Knowledge,45
113,67,1.0,google/bigbird-roberta-base,5e-06,600,0.8747474747474747,Knowledge,35
114,68,1.0,google/bigbird-roberta-base,5e-06,200,0.9277777777777777,Knowledge,28
115,7,1.0,google/bigbird-roberta-base,1e-05,800,0.34941199971918413,Conditions to Closing,63
116,70,1.0,google/bigbird-roberta-base,5e-05,200,0.2501984126984127,Deal Protection and Related Provisions,25
117,72,1.0,google/bigbird-roberta-base,5e-06,200,0.6256480784919113,Deal Protection and Related Provisions,52
118,74,1.0,google/bigbird-roberta-base,1e-05,600,0.961300357662917,Deal Protection and Related Provisions,101
119,75,1.0,google/bigbird-roberta-base,5e-05,200,0.9384920634920636,Deal Protection and Related Provisions,57
120,77,1.0,google/bigbird-roberta-base,5e-05,600,0.8787037037037037,Deal Protection and Related Provisions,45
121,78,1.0,google/bigbird-roberta-base,5e-05,600,0.8764838504249021,Deal Protection and Related Provisions,26
122,8,1.0,google/bigbird-roberta-base,5e-05,800,0.3811785272776047,Conditions to Closing,56
123,80,1.0,google/bigbird-roberta-base,1e-05,800,0.7778142837894401,Deal Protection and Related Provisions,102
124,81,1.0,google/bigbird-roberta-base,1e-05,400,0.4646732715360167,Deal Protection and Related Provisions,48
125,82,1.0,google/bigbird-roberta-base,1e-05,800,0.836004394186207,Deal Protection and Related Provisions,95
126,84,1.0,google/bigbird-roberta-base,5e-05,200,0.9465934537888293,Deal Protection and Related Provisions,81
127,85,1.0,google/bigbird-roberta-base,5e-05,400,0.48703014263777006,Deal Protection and Related Provisions,89
128,86,1.0,google/bigbird-roberta-base,5e-06,600,0.6112481654148322,Deal Protection and Related Provisions,58
129,88,1.0,google/bigbird-roberta-base,1e-05,800,0.634994703094601,Deal Protection and Related Provisions,59
130,89,1.0,google/bigbird-roberta-base,5e-05,600,0.6129077952083891,Deal Protection and Related Provisions,53
131,9,1.0,google/bigbird-roberta-base,1e-05,600,0.5197987711084281,Conditions to Closing,55
132,90,1.0,google/bigbird-roberta-base,1e-05,400,0.5003898478731627,Deal Protection and Related Provisions,39
133,92,1.0,google/bigbird-roberta-base,1e-05,800,0.382425441370182,Deal Protection and Related Provisions,43
134,93,1.0,google/bigbird-roberta-base,5e-06,200,0.9999999999999997,Deal Protection and Related Provisions,67
135,94,1.0,google/bigbird-roberta-base,5e-05,800,0.7015260287329491,Deal Protection and Related Provisions,42
136,95,1.0,google/bigbird-roberta-base,5e-05,800,0.5089596949891066,Deal Protection and Related Provisions,21
137,97,1.0,google/bigbird-roberta-base,5e-06,200,1.0,Deal Protection and Related Provisions,51
138,99.0,1.0,google/bigbird-roberta-base,5e-06,800,0.7015089975101566,Deal Protection and Related Provisions,40
139,99.1,1.0,google/bigbird-roberta-base,5e-05,800,0.4376462229535692,Deal Protection and Related Provisions,52
140,99.2,1.0,google/bigbird-roberta-base,1e-05,800,0.5170210456810982,Deal Protection and Related Provisions,48
141,99.3,1.0,google/bigbird-roberta-base,1e-05,200,0.4165223342210613,Deal Protection and Related Provisions,54
142,99.4,1.0,google/bigbird-roberta-base,1e-05,400,0.6183263724542208,Deal Protection and Related Provisions,40
143,99.5,1.0,google/bigbird-roberta-base,5e-06,200,0.3611111111111111,Deal Protection and Related Provisions,54
